"date","residents","population","gdp.per.capita","top","bottom","inequality","cars","rentalcars","taxis","buses","motorbikes","other","bus.u","mrt.u","lrt.u","gdp.per.capita.ch","cars.ch","top.ch","bottom.ch","population.ch","bus.u.pop","lrt.u.pop","mrt.u.pop","car.u.pop","non.residents","lcar.u.pop","lgdp","ltop","lbottom"
1995,3013515,3524506,35345.464,113402.46,29156.64,3.88942141481323,342245,5144,16517,10723,129587,137913,3009,740,0,10.4729253462597,12.7432821338402,11.6386983631622,10.2804379531461,15.0752508425637,85.3736665507166,0,20.995850198581,9.71043885299103,510991,NA,NA,NA,NA
1996,3068132,3670704,37030.853,121752.27,30231.9,4.02727813997797,362142,5451,16857,10998,132344,140512,3118,850,0,10.5195067090191,12.7997916790854,11.7097436855349,10.3166529372705,15.1158940272477,84.9428338542143,0,23.1563209673131,9.86573692675846,602572,9.71043885299103,10.4729253462597,11.6386983631622,10.2804379531461
1997,3123403,3796038,39178.612,126460.79,31591.52,4.00299795641362,373345,6152,16933,11240,132629,142905,3116,911,0,10.5758862646331,12.8302582041149,11.7476875786277,10.3606440091311,15.1494684491993,82.0855850231215,0,23.9987060192759,9.83512283069875,672635,9.86573692675846,10.5195067090191,11.7097436855349,10.3166529372705
1998,3180018,3927213,36524.706,130964.13,30026.42,4.36162985797175,370804,6536,17886,11429,133375,141051,3121,946,0,10.5057441873052,12.8234289001022,11.7826787478947,10.3098329397516,15.183440571967,79.4711160306304,0,24.0883293063045,9.44191211426526,747195,9.83512283069875,10.5758862646331,11.7476875786277,10.3606440091311
1999,3229681,3958723,36943.706,139277.67,27180.2,5.1242327135194,378024,7112,18029,11827,134346,139473,3213,986,27,10.5171505735721,12.8427129646497,11.8442248454107,10.2102440460298,15.191432056477,81.1625365048274,0.682038121889306,24.9070217845502,9.54913996255863,729042,9.44191211426526,10.5057441873052,11.7826787478947,10.3098329397516
2000,3273363,4027887,41018.455,156177.54,28242.94,5.52979045382669,386780,8438,18327,12569,131937,134756,3251,1047,39,10.6217773663632,12.8656113349163,11.9587487160361,10.2485987938371,15.2087524788025,80.7122940638603,0.968249605810689,25.9937778790716,9.60255339834509,754524,9.54913996255863,10.5171505735721,11.8442248454107,10.2102440460298
2001,3325902,4138012,38659.651,159140.26,22622.82,7.03450144588517,398787,8857,18798,12902,131869,137157,3281,1071,41,10.5625517253031,12.8961827187451,11.9775412307118,10.0267144103347,15.2357260372351,79.289281906384,0.990813946407115,25.881993575659,9.63716393282571,812110,9.60255339834509,10.6217773663632,11.9587487160361,10.2485987938371
2002,3382944,4175950,39423.341,156838.44,22602.43,6.93900788543533,398166,8423,19106,12992,132318,135951,3197,1081,39,10.5821133310473,12.8946242827378,11.9629715099146,10.0258127016042,15.2448524352929,76.5574300458578,0.933919227960105,25.8863252673044,9.53474059794777,793006,9.63716393282571,10.5625517253031,11.9775412307118,10.0267144103347
2003,3366891,4114826,41069.975,159243.33,25086.59,6.34774714299552,399923,7803,19384,12951,135649,135333,2992,1171,50,10.6230325982336,12.8990273075596,11.9781886887268,10.1300887194024,15.2301071068737,72.7126736343165,1.21511820912962,28.4580684578157,9.7190743909949,747935,9.53474059794777,10.5821133310473,11.9629715099146,10.0258127016042
2004,3413266,4166664,46320.39,161198.37,28106.08,5.73535583759813,412015,7455,20407,13173,137029,137316,2805,1270,55,10.7433375319006,12.9288150354359,11.990390997341,10.243741202024,15.2426262736042,67.3200430848276,1.32000084480054,30.4800195072125,9.88836632855445,753398,9.7190743909949,10.6230325982336,11.9781886887268,10.1300887194024
2005,3467814,4265762,49715.385,170744.33,31813,5.3671244459812,432827,7756,22383,13494,139434,139098,2779,1321,69,10.8140697215258,12.9780933890418,12.0479225704395,10.3676302902617,15.2661313864899,65.1466256204636,1.61753046700683,30.9675035784931,10.1465341948285,797948,9.88836632855445,10.7433375319006,11.990390997341,10.243741202024
2006,3525894,4401365,53355.039,185295.82,31204.08,5.93819205693614,465482,9235,23334,14120,142736,144466,2833,1408,74,10.8847237040034,13.0508287068528,12.129708854005,10.3483041344788,15.2974252780507,64.3663954250556,1.68129659776001,31.9900758060284,10.575855444845,875471,10.1465341948285,10.8140697215258,12.0479225704395,10.3676302902617
2007,3583082,4588599,59113.86,208443.98,34043.28,6.12291118834613,505987,11054,24446,14530,144340,150979,2932,1527,79,10.9872206936657,13.13426625624,12.2474256030646,10.435387935272,15.3390853066868,63.8974989969705,1.72165839725807,33.2781312988997,11.0270476892838,1005517,10.575855444845,10.8847237040034,12.129708854005,10.3483041344788
2008,3642659,4839396,56201.311,202059.19,28969.67,6.9748530100619,540455,12391,24300,15327,146120,156089,3087,1698,88,10.9366953630118,13.2001666563512,12.2163159532634,10.2740046996043,15.392300477517,63.7889521750235,1.81840874357048,35.0870232566213,11.1678192898453,1196737,11.0270476892838,10.9872206936657,12.2474256030646,10.435387935272
2009,3733876,4987573,56111.058,192490.78,30184.56,6.37712724651279,566608,12763,24702,16023,147215,158207,3047,1782,90,10.9350881843862,13.247422985587,12.167803535459,10.3150858143477,15.4224599766646,61.0918376533035,1.80448486668767,35.7288003604158,11.3603951260463,1253697,11.1678192898453,10.9366953630118,12.2163159532634,10.2740046996043
2010,3771721,5076732,63497.758,210202,29642.8,7.0911654769455,584399,13347,26073,16309,148160,157541,3199,2069,100,11.0587598771709,13.2783392477005,12.2558242521276,10.2969745418849,15.4401783054573,63.0129776399463,1.96977110471855,40.7545641566267,11.5113226382641,1305011,11.3603951260463,10.9350881843862,12.167803535459,10.3150858143477
2011,3789251,5183688,66781.16,216514,29759.5,7.27545825702717,592361,13919,27051,17046,146559,159768,3385,2295,111,11.109176283817,13.2918715253126,12.285410489461,10.3009036877306,15.4610273300179,65.3009980538952,2.14133258020159,44.2734979420058,11.4274045814486,1394437,11.5113226382641,11.0587598771709,12.2558242521276,10.2969745418849
2012,3818205,5312437,68047.621,222826,29876.2,7.45831129795623,605149,14862,28210,17162,144110,160417,3481,2525,124,11.12796304788,13.3132299876825,12.3141464768156,10.3048174557911,15.485561233321,65.5254829374918,2.33414532727635,47.5299754142967,11.3911750859351,1494232,11.4274045814486,11.109176283817,12.285410489461,10.3009036877306
2013,3844751,5399162,69593.829,229138,29992.9,7.63974140546596,607292,16396,27695,17509,144934,160344,3601,2623,132,11.1504311785985,13.3167650087378,12.3420797211211,10.3087159659677,15.5017543143069,66.6955353441886,2.44482384488556,48.5816132207183,11.2478936546079,1554411,11.3911750859351,11.12796304788,12.3141464768156,10.3048174557911
2014,3870739,5469724,70966.89,235450,30109.6,7.81976512474427,600176,18847,28736,17554,145026,161698,3751,2762,137,11.1699687092259,13.3049782245178,12.3692538556717,10.3125993367645,15.5147387160868,68.5775004369507,2.504696763493,50.4961493486691,10.9726925892422,1598985,11.2478936546079,11.1504311785985,12.3420797211211,10.3087159659677
